question_id,question,answer,ideal_score,tfidf_cosine_score,tfidf_score_100,tfidf_2_3_ngram_score,bm25_score,wmd_score,nli_entailment_score,nli_contradiction_score,sbert_score,nli_score
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","Object-Oriented Programming (OOP) is a programming paradigm that organizes software design around objects, which combine data and behavior. Unlike procedural programming, which focuses on functions operating on data, OOP focuses on modeling real-world entities as objects. The four core principles of OOP are encapsulation, abstraction, inheritance, and polymorphism. Encapsulation ensures that an object's internal data is hidden and accessed only through well-defined interfaces. Abstraction focuses on exposing only essential features. Inheritance allows a class to derive properties and behavior from another class, and polymorphism enables different objects to respond differently to the same method call. A real-world example of encapsulation is a bank account, where balance details are hidden and accessed only through methods like deposit and withdraw. OOP may not be ideal for small, performance-critical systems such as low-level embedded software, where procedural programming can be simpler and faster.",95,0.731454743,73.14547429,50.99545301,6.892004241,80.14243529,99.60322976112366,0.0039608767110621,98.38069081306458,99.5992688844126
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","Object-Oriented Programming is a way of writing programs using objects that represent real-world entities. It differs from procedural programming because procedural programming relies mainly on functions, while OOP combines data and methods together. The four principles are encapsulation, abstraction, inheritance, and polymorphism. Encapsulation hides data inside classes, inheritance allows reuse of code, abstraction hides complexity, and polymorphism allows methods to behave differently. For example, a vehicle class can be inherited by car and bike classes. OOP may not be suitable for very small programs where it adds unnecessary complexity.",85,0.301305302,30.13053015,7.643295318,81.41579042,62.09295861,0.4450753796845674,0.0035202381695853,84.83223915100098,0.4415551415149821
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","Object-Oriented Programming is a programming style where programs are built using objects. Procedural programming focuses on step-by-step instructions, whereas OOP focuses on objects and classes. The main principles are encapsulation, inheritance, polymorphism, and abstraction. Encapsulation means keeping data safe inside objects. An example is a car class that has speed and fuel as attributes. OOP might not be a good choice when performance is the highest priority.",77,0.24285501,24.28550098,3.187819489,90.13697623,58.80689732,37.75926530361176,0.0170525963767431,77.8051495552063,37.74221270723502
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","OOP is a programming method that uses classes and objects. It is different from procedural programming because procedural programming uses functions. OOP has four principles like inheritance and encapsulation. For example, a student class can inherit from a person class. OOP may not be suitable for all applications.",63,0.217870629,21.78706294,1.721564341,94.51930203,55.05055715,0.7936025969684124,0.0057308232499053,68.83423328399658,0.7878717737185071
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",Object-Oriented Programming is about using objects in programs. Procedural programming is about writing functions. OOP principles include encapsulation and inheritance. A real-world example is a car object. Sometimes OOP is not needed for simple tasks.,56,0.238377294,23.83772942,5.129336859,97.03983159,53.73327052,11.72497645020485,0.0113323738332837,63.89806270599365,11.713644076371565
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",OOP is a type of programming. It uses objects. Procedural programming uses steps. OOP has principles like inheritance. An example is a class. OOP is not always good.,42,0.183280589,18.32805888,0.714337502,97.89806859,51.12109395,2.1109534427523613,0.0084430190327111,63.64320516586304,2.10251042371965
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",Object-Oriented Programming uses objects. Procedural programming uses procedures. There are some principles in OOP. It can be used to make programs.,34,0.152511015,15.25110149,4.138004166,99.22461212,50.73533597,86.77257895469666,0.0044365478970576,65.47216176986694,86.7681424067996
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",OOP is programming with objects. It is different from procedural programming. It has rules. Example is car.,23,0.180543159,18.05431591,2.179486909,99.18355644,49.73723003,99.72338080406188,0.1548861735500395,67.56622195243835,99.56849463051184
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",OOP is a programming language concept. It has objects and classes.,13,0.134578176,13.4578176,1.396426007,99.4079306,48.3124296,85.64042448997498,0.0019087976397713,71.22329473495483,85.6385156923352
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",I don't know Object-Oriented Programming.,0,0.097907434,9.790743432,5.217720149,100.0,45.62509683,95.82324028015135,4.1706424206495285,72.39185571670532,91.65259785950182
